id | Fermi name | Counterpart name | RA (J2000.0) | Dec (J2000.0) | Class | Redshift | Flux 1-100 GeV (ph/cm2/s) | Spectral index
1 | 2FGLJ0319.8+4130 | NGC 1275 | 49.95042 | 41.51164 | Radio Galaxy | 0.018 | (188+/-5.3) e-10 | 1.996
2 | 2FGLJ0322.4-3717 | For A | 50.67333 | -37.20714 | Radio Galaxy | 0.005 | (5.3+/-1.2) e-10 | 2.158
3 | 2FGLJ0627.1-3528 | PKS 0625-35 | 96.77958 | -35.48811 | Radio Galaxy | 0.055 | (15+/-1.8) e-10 | 1.929
4 | 2FGLJ1230.8+1224 | M 87 | 187.70583 | 12.38931 | Radio Galaxy | 0.0036 | (17.3+/-1.8) e-10 | 2.174
5 | 2FGLJ1325.6-4300 | Cen A Core | 201.36667 | -43.01956 | Radio Galaxy | 0 | (30.3+/-2.4) e-10 | 2.763
6 | 2FGLJ0007.8+4713 | MG4 J000800+4712 | 1.99958 | 47.20211 | BL Lac | 0.28 | (21.3+/-2) e-10 | 2.098
7 | 2FGLJ0012.9-3954 | PKS 0010-401 | 3.24958 | -39.90717 | BL Lac | 0 | (5.2+/-1.1) e-10 | 2.163
8 | 2FGLJ0013.8+1907 | GB6 J0013+1910 | 3.485 | 19.17822 | BL Lac | 0.473 | (4+/-1.1) e-10 | 2.056
9 | 2FGLJ0018.5+2945 | RBS 0042 | 4.61542 | 29.79172 | BL Lac | 0 | (20.9+/-8.2) e-11 | 1.242
10 | 2FGLJ0021.6-2551 | CRATES J002132.55-2550 | 5.38542 | -25.84697 | BL Lac | 0 | (8.7+/-1.3) e-10 | 1.977
11 | 2FGLJ0022.5+0607 | PKS 0019+058 | 5.635 | 6.13456 | BL Lac | 0 | (22.2+/-2) e-10 | 2.091
12 | 2FGLJ0029.2-7043 | PKS 0026-710 | 7.17042 | -70.75467 | BL Lac | 0 | (6.6+/-1.3) e-10 | 2.468
13 | 2FGLJ0033.5-1921 | KUV 00311-1938 | 8.39292 | -19.35939 | BL Lac | 0.61 | (31.2+/-2.3) e-10 | 1.758
14 | 2FGLJ0035.2+1515 | RX J0035.2+1515 | 8.81083 | 15.25075 | BL Lac | 0 | (10.8+/-1.6) e-10 | 1.621
15 | 2FGLJ0037.8+1238 | NVSS J003750+123818 | 9.46167 | 12.6385 | BL Lac | 0 | (11.1+/-1.5) e-10 | 2.22
16 | 2FGLJ0038.1+0015 | BZB J0038+0013 | 9.53542 | 0.22667 | BL Lac | 0 | (3.8+/-1.1) e-10 | 1.928
17 | 2FGLJ0045.3+2127 | GB6 J0045+2127 | 11.33 | 21.46183 | BL Lac | 0 | (15.1+/-1.7) e-10 | 1.947
18 | 2FGLJ0050.2+0234 | PKS 0047+023 | 12.43 | 2.61744 | BL Lac | 0 | (6.6+/-1.3) e-10 | 2.267
19 | 2FGLJ0050.6-0929 | PKS 0048-09 | 12.67167 | -9.48508 | BL Lac | 0.635 | (38.5+/-2.5) e-10 | 2.14
20 | 2FGLJ0057.9-3236 | PKS 0055-328 | 14.50917 | -32.57178 | BL Lac | 0 | (9.3+/-1.3) e-10 | 2.102
21 | 2FGLJ0100.2+0746 | GB6 J0100+0745 | 15.08667 | 7.76414 | BL Lac | 0 | (20+/-2) e-10 | 1.715
22 | 2FGLJ0105.3+3930 | GB6 J0105+3928 | 16.28833 | 39.47083 | BL Lac | 0.44 | (6.4+/-1.3) e-10 | 2.208
23 | 2FGLJ0109.0+1817 | MG1 J010908+1816 | 17.28417 | 18.26847 | BL Lac | 0.443 | (5+/-1.1) e-10 | 1.992
24 | 2FGLJ0112.1+2245 | S2 0109+22 | 18.02417 | 22.74386 | BL Lac | 0.265 | (71.3+/-3.2) e-10 | 2.066
25 | 2FGLJ0115.7+2518 | RX J0115.7+2519 | 18.94208 | 25.33175 | BL Lac | 0 | (12.9+/-1.7) e-10 | 1.998
26 | 2FGLJ0115.4+0358 | PMN J0115+0356 | 18.91875 | 3.94519 | BL Lac | 0 | (15.8+/-1.8) e-10 | 2.073
27 | 2FGLJ0120.4-2700 | PKS 0118-272 | 20.13208 | -27.02356 | BL Lac | 0 | (43.5+/-2.6) e-10 | 1.927
28 | 2FGLJ0124.5-0621 | PMN J0124-0624 | 21.21 | -6.41719 | BL Lac | -999 | (6.2+/-1.3) e-10 | 2.239
29 | 2FGLJ0136.5+3905 | B3 0133+388 | 24.135 | 39.09978 | BL Lac | 0 | (45.3+/-2.6) e-10 | 1.692
30 | 2FGLJ0141.5-0928 | PKS 0139-09 | 25.3575 | -9.47897 | BL Lac | 0.733 | (16.4+/-1.8) e-10 | 2.033
31 | 2FGLJ0144.6+2704 | TXS 0141+268 | 26.13958 | 27.08419 | BL Lac | 0 | (34+/-2.4) e-10 | 2.169
32 | 2FGLJ0152.6+0148 | PMN J0152+0146 | 28.16458 | 1.78803 | BL Lac | 0.08 | (7.7+/-1.4) e-10 | 1.788
33 | 2FGLJ0153.9+0823 | GB6 J0154+0823 | 28.51125 | 8.39742 | BL Lac | 0 | (18.3+/-1.9) e-10 | 1.858
34 | 2FGLJ0154.9+4434 | GB6 J0154+4433 | 28.72708 | 44.56017 | BL Lac | 0 | (3.9+/-1.2) e-10 | 2.007
35 | 2FGLJ0158.3-3931 | PMN J0158-3932 | 29.65875 | -39.53442 | BL Lac | 0 | (9.1+/-1.4) e-10 | 2.071
36 | 2FGLJ0159.5+1046 | RX J0159.5+1047 | 29.89333 | 10.78494 | BL Lac | 0.195 | (10.6+/-1.6) e-10 | 2.154
37 | 2FGLJ0159.6-2741 | PMN J0159-2739 | 29.93042 | -27.67731 | BL Lac | 0 | (5.7+/-1.1) e-10 | 2.125
38 | 2FGLJ0203.6+7235 | S5 0159+723 | 30.88833 | 72.54833 | BL Lac | 0 | (9.9+/-1.7) e-10 | 2.021
39 | 2FGLJ0209.5-5229 | 1RXS J020922.2-522920 | 32.33958 | -52.48978 | BL Lac | 0 | (14.5+/-1.7) e-10 | 1.912
40 | 2FGLJ0211.2+1050 | MG1 J021114+1051 | 32.805 | 10.85953 | BL Lac | 0 | (25.8+/-2.2) e-10 | 2.169
41 | 2FGLJ0213.1+2245 | MG3 J021252+2246 | 33.21958 | 22.74858 | BL Lac | 0.459 | (10.4+/-1.6) e-10 | 2.029
42 | 2FGLJ0217.4+0836 | ZS 0214+083 | 34.32125 | 8.6175 | BL Lac | 0.085 | (15.7+/-1.8) e-10 | 1.943
43 | 2FGLJ0216.9-6630 | RBS 0300 | 34.21167 | -66.612 | BL Lac | 0 | (6.8+/-1.3) e-10 | 1.941
44 | 2FGLJ0219.1-1725 | 1RXS J021905.8-172503 | 34.77292 | -17.42047 | BL Lac | 0.128 | (4.2+/-1.2) e-10 | 1.92
45 | 2FGLJ0222.6+4302 | 3C 66A | 35.66417 | 43.03564 | BL Lac | 0 | (256+/-6.1) e-10 | 1.847
46 | 2FGLJ0227.3+0203 | RX J0227.2+0201 | 36.81875 | 2.033 | BL Lac | 0.456 | (4.3+/-1.1) e-10 | 1.865
47 | 2FGLJ0238.7+1637 | AO 0235+164 | 39.66167 | 16.61625 | BL Lac | 0.94 | (187+/-5.1) e-10 | 2.023
48 | 2FGLJ0238.6-3117 | 1RXS J023832.6-311658 | 39.635 | -31.28303 | BL Lac | 0 | (10+/-1.5) e-10 | 1.849
49 | 2FGLJ0242.9+7118 | S5 0238+711 | 40.87792 | 71.33819 | BL Lac | 0 | (7.2+/-1.7) e-10 | 1.9
50 | 2FGLJ0303.4-2407 | PKS 0301-243 | 45.85958 | -24.11953 | BL Lac | 0.26 | (67.3+/-3.2) e-10 | 1.938
51 | 2FGLJ0304.5-2836 | RBS 0385 | 46.0675 | -28.53908 | BL Lac | 0 | (3.7+/-1) e-10 | 1.621
52 | 2FGLJ0314.2-5106 | PMN J0314-5104 | 48.60667 | -51.07556 | BL Lac | 0 | (5.8+/-1.2) e-10 | 2.244
53 | 2FGLJ0316.1+0904 | GB6 J0316+0904 | 49.05292 | 9.07886 | BL Lac | 0 | (23.1+/-2.3) e-10 | 1.812
54 | 2FGLJ0315.8-2611 | RBS 0405 | 49.06208 | -26.13214 | BL Lac | 0.443 | (6.4+/-1.2) e-10 | 1.872
55 | 2FGLJ0319.6+1849 | RBS 0413 | 49.96542 | 18.76008 | BL Lac | 0.19 | (10.6+/-1.7) e-10 | 1.551
56 | 2FGLJ0322.0+2336 | MG3 J032201+2336 | 50.5 | 23.60275 | BL Lac | 0 | (14.2+/-1.8) e-10 | 2.09
57 | 2FGLJ0325.6-1650 | RBS 0421 | 51.42125 | -16.77103 | BL Lac | 0.291 | (6.9+/-1.4) e-10 | 1.965
58 | 2FGLJ0326.1+0224 | 1H 0323+022 | 51.55792 | 2.42089 | BL Lac | 0.147 | (12.9+/-1.7) e-10 | 2.056
59 | 2FGLJ0334.3-3728 | PMN J0334-3725 | 53.56417 | -37.42881 | BL Lac | 0 | (34.2+/-2.4) e-10 | 1.992
60 | 2FGLJ0334.2-4008 | PKS 0332-403 | 53.55625 | -40.14081 | BL Lac | 1.357 | (43.3+/-2.6) e-10 | 2.189
61 | 2FGLJ0340.6-2113 | PKS 0338-214 | 55.14833 | -21.3255 | BL Lac | 0.223 | (5.5+/-1.2) e-10 | 2.434
62 | 2FGLJ0354.1+8010 | S5 0346+80 | 58.6925 | 80.15806 | BL Lac | 0 | (11.6+/-1.4) e-10 | 2.25
63 | 2FGLJ0357.0-4950 | PKS 0355-500 | 59.25042 | -49.93075 | BL Lac | 0.643 | (36.7+/-9.9) e-11 | 1.739
64 | 2FGLJ0402.0-2616 | PKS 0359-264 | 60.50292 | -26.26083 | BL Lac | 0 | (5.1+/-1.2) e-10 | 2.133
65 | 2FGLJ0416.8+0105 | 1ES 0414+009 | 64.22 | 1.09067 | BL Lac | 0.287 | (6.9+/-1.4) e-10 | 1.981
66 | 2FGLJ0424.7+0034 | PKS 0422+00 | 66.195 | 0.60183 | BL Lac | 0 | (18.6+/-2) e-10 | 2.301
67 | 2FGLJ0428.6-3756 | PKS 0426-380 | 67.16833 | -37.93883 | BL Lac | 1.111 | (311+/-6.8) e-10 | 1.946
68 | 2FGLJ0430.4-2507 | PMN J0430-2507 | 67.56667 | -25.12742 | BL Lac | 0.516 | (3.9+/-1.1) e-10 | 2.199
69 | 2FGLJ0433.5+2905 | MG2 J043337+2905 | 68.4075 | 29.09894 | BL Lac | 0 | (43.1+/-3) e-10 | 2.044
70 | 2FGLJ0434.1-2014 | TXS 0431-203 | 68.53292 | -20.25478 | BL Lac | 0.928 | (6.9+/-1.3) e-10 | 2.218
71 | 2FGLJ0440.9+2749 | B2 0437+27B | 70.20958 | 27.84653 | BL Lac | 0 | (8.6+/-1.9) e-10 | 1.846
72 | 2FGLJ0448.5-1633 | RBS 0589 | 72.15667 | -16.54525 | BL Lac | 0 | (9.3+/-1.5) e-10 | 1.911
73 | 2FGLJ0449.4-4350 | PKS 0447-439 | 72.3525 | -43.83658 | BL Lac | 0.205 | (114+/-4) e-10 | 1.855
74 | 2FGLJ0508.0+6737 | 1ES 0502+675 | 76.9825 | 67.62328 | BL Lac | 0.416 | (24.2+/-2.1) e-10 | 1.489
75 | 2FGLJ0506.5-0901 | 1WGA J0506.6-0857 | 76.66583 | -8.96711 | BL Lac | 0 | (5.7+/-1.4) e-10 | 2.236
76 | 2FGLJ0509.4+0542 | TXS 0506+056 | 77.35792 | 5.69319 | BL Lac | 0 | (49.4+/-2.9) e-10 | 2.059
77 | 2FGLJ0515.5+7355 | GB6 J0516+7350 | 79.12958 | 73.85242 | BL Lac | 0.249 | (3.6+/-1.1) e-10 | 1.632
78 | 2FGLJ0515.9+1528 | GB6 J0515+1527 | 78.9475 | 15.45467 | BL Lac | 0 | (13.7+/-2) e-10 | 1.939
79 | 2FGLJ0516.8-6207 | PKS 0516-621 | 79.18583 | -62.118 | BL Lac | 1.3 | (31+/-2.2) e-10 | 2.154
80 | 2FGLJ0536.2-3348 | 1RXS J053629.4-334302 | 84.12125 | -33.71736 | BL Lac | 0 | (20.8+/-1.9) e-10 | 2.391
81 | 2FGLJ0538.8-4405 | PKS 0537-441 | 84.70875 | -44.08608 | BL Lac | 0.892 | (371+/-6.8) e-10 | 2.012
82 | 2FGLJ0543.9-5532 | 1RXS J054357.3-553206 | 85.98667 | -55.53442 | BL Lac | 0 | (19.4+/-2) e-10 | 1.74
83 | 2FGLJ0558.2-3837 | EXO 0556.4-3838 | 89.525 | -38.64156 | BL Lac | 0.302 | (7+/-1.3) e-10 | 2.255
84 | 2FGLJ0558.7-7501 | PKS 0600-749 | 89.69208 | -74.98506 | BL Lac | 0 | (7.4+/-1.4) e-10 | 2.087
85 | 2FGLJ0607.4+4739 | TXS 0603+476 | 91.84667 | 47.66308 | BL Lac | 0 | (22.3+/-2) e-10 | 2.051
86 | 2FGLJ0609.6-1847 | PMN J0610-1847 | 92.57458 | -18.79442 | BL Lac | 0 | (5.6+/-1.4) e-10 | 2.2
87 | 2FGLJ0612.8+4122 | B3 0609+413 | 93.21292 | 41.377 | BL Lac | 0 | (36.3+/-2.6) e-10 | 2.028
88 | 2FGLJ0616.9+5701 | 87GB 061258.1+570222 | 94.32042 | 57.02125 | BL Lac | 0 | (11.6+/-1.5) e-10 | 1.895
89 | 2FGLJ0617.6-1716 | CRATES J061733.67-1715 | 94.39 | -17.25617 | BL Lac | 0.098 | (14.1+/-1.9) e-10 | 1.959
90 | 2FGLJ0625.2+4441 | GB6 J0625+4440 | 96.32583 | 44.66711 | BL Lac | 0 | (8.2+/-1.4) e-10 | 1.912
91 | 2FGLJ0629.3-2001 | PKS 0627-199 | 97.34875 | -19.98881 | BL Lac | 0 | (24.8+/-2.3) e-10 | 2.192
92 | 2FGLJ0630.9-2406 | TXS 0628-240 | 97.7475 | -24.11261 | BL Lac | 0 | (33.8+/-2.5) e-10 | 1.791
93 | 2FGLJ0650.7+2505 | 1ES 0647+250 | 102.69333 | 25.04986 | BL Lac | 0 | (17.8+/-2) e-10 | 1.595
94 | 2FGLJ0700.3-6611 | PKS 0700-661 | 105.13 | -66.1795 | BL Lac | 0 | (39.3+/-2.5) e-10 | 2.005
95 | 2FGLJ0706.5+3744 | GB6 J0706+3744 | 106.63167 | 37.74347 | BL Lac | 0 | (10.4+/-1.6) e-10 | 1.729
96 | 2FGLJ0710.5+5908 | 1H 0658+595 | 107.6275 | 59.13822 | BL Lac | 0.125 | (8.1+/-1.3) e-10 | 1.534
97 | 2FGLJ0710.8+4733 | S4 0707+47 | 107.69208 | 47.53642 | BL Lac | 1.292 | (8.3+/-1.4) e-10 | 2.486
98 | 2FGLJ0712.9+5032 | GB6 J0712+5033 | 108.18208 | 50.55631 | BL Lac | 0 | (17.3+/-1.8) e-10 | 2.057
99 | 2FGLJ0721.9+7120 | S5 0716+71 | 110.47125 | 71.3435 | BL Lac | 0 | (183+/-4.3) e-10 | 2.007
100 | 2FGLJ0718.7-4320 | PMN J0718-4319 | 109.68083 | -43.33069 | BL Lac | 0 | (24.7+/-2.2) e-10 | 1.884
101 | 2FGLJ0729.9+3304 | 1RXS J073026.0+330727 | 112.60875 | 33.12269 | BL Lac | 0.112 | (5.3+/-1.3) e-10 | 1.892
102 | 2FGLJ0738.0+1742 | PKS 0735+17 | 114.53042 | 17.70542 | BL Lac | 0.424 | (51.6+/-2.8) e-10 | 2.047
103 | 2FGLJ0745.0+7436 | MS 0737.9+7441 | 116.0225 | 74.56608 | BL Lac | 0.315 | (6.3+/-1.1) e-10 | 1.799
104 | 2FGLJ0753.0+5352 | 4C +54.15 | 118.25583 | 53.88311 | BL Lac | 0.73 | (11.8+/-1.5) e-10 | 2.014
105 | 2FGLJ0754.8+4824 | GB1 0751+485 | 118.69 | 48.39725 | BL Lac | 0 | (11.3+/-1.5) e-10 | 2.195
106 | 2FGLJ0757.1+0957 | PKS 0754+100 | 119.2775 | 9.94297 | BL Lac | 0.266 | (20.5+/-2) e-10 | 2.192
107 | 2FGLJ0801.5+4401 | B3 0757+441 | 120.28417 | 44.01953 | BL Lac | 0 | (5.7+/-1.2) e-10 | 2.26
108 | 2FGLJ0805.3+7535 | RX J0805.4+7534 | 121.36083 | 75.57364 | BL Lac | 0.121 | (14.5+/-1.5) e-10 | 1.677
109 | 2FGLJ0807.1-0543 | PKS 0804-05 | 121.79 | -5.68706 | BL Lac | 0 | (13.4+/-1.7) e-10 | 2.101
110 | 2FGLJ0809.8+5218 | 1ES 0806+524 | 122.455 | 52.31611 | BL Lac | 0.137097 | (24.5+/-1.9) e-10 | 1.938
111 | 2FGLJ0811.4+0149 | OJ 014 | 122.86083 | 1.78181 | BL Lac | 1.148 | (12.6+/-1.6) e-10 | 2.262
112 | 2FGLJ0814.7+6429 | GB6 J0814+6431 | 123.66375 | 64.52253 | BL Lac | 0 | (13+/-1.5) e-10 | 2.263
113 | 2FGLJ0814.0-1006 | NVSS J081411-101208 | 123.54833 | -10.2025 | BL Lac | 0 | (11.3+/-1.8) e-10 | 2.231
114 | 2FGLJ0811.1-7527 | PMN J0810-7530 | 122.76333 | -75.50761 | BL Lac | 0 | (26.5+/-2.3) e-10 | 1.712
115 | 2FGLJ0816.5+5739 | SBS 0812+578 | 124.09417 | 57.6525 | BL Lac | 0 | (9.7+/-1.4) e-10 | 1.977
116 | 2FGLJ0816.9+2049 | BZB J0816+2051 | 124.20833 | 20.85139 | BL Lac | 0 | (4.3+/-1.1) e-10 | 2.605
117 | 2FGLJ0816.4-1311 | PMN J0816-1311 | 124.1125 | -13.19794 | BL Lac | 0 | (27.5+/-2.3) e-10 | 1.796
118 | 2FGLJ0817.9+3238 | RX J0817.9+3243 | 124.46125 | 32.72769 | BL Lac | 0 | (5+/-1.1) e-10 | 2.188
119 | 2FGLJ0818.2-0935 | TXS 0815-094 | 124.45708 | -9.55839 | BL Lac | 0 | (15.2+/-1.9) e-10 | 2.042
120 | 2FGLJ0819.3+2750 | 5C 07.119 | 124.82833 | 27.79189 | BL Lac | 0 | (3.6+/-1.1) e-10 | 2.259
121 | 2FGLJ0819.6-0803 | RX J0819.2-0756 | 124.82292 | -7.94117 | BL Lac | 0 | (3.4+/-1.2) e-10 | 1.576
122 | 2FGLJ0825.9+0308 | PKS 0823+033 | 126.45958 | 3.15686 | BL Lac | 0.506 | (6.7+/-1.3) e-10 | 1.969
123 | 2FGLJ0831.9+0429 | PKS 0829+046 | 127.95333 | 4.49397 | BL Lac | 0.173777 | (50+/-2.8) e-10 | 2.047
124 | 2FGLJ0834.3+4400 | B3 0831+442 | 128.7425 | 44.06053 | BL Lac | 0 | (4.8+/-1.1) e-10 | 2.042
125 | 2FGLJ0839.7+3541 | FIRST J083943.3+354001 | 129.93083 | 35.66694 | BL Lac | 0 | (4.5+/-1.1) e-10 | 1.92
126 | 2FGLJ0843.9+5312 | BZB J0844+5312 | 131.04875 | 53.21386 | BL Lac | 0 | (5.4+/-1.1) e-10 | 2.087
127 | 2FGLJ0849.2+6606 | GB6 J0848+6605 | 132.22792 | 66.10244 | BL Lac | 0 | (5.4+/-1.1) e-10 | 1.961
128 | 2FGLJ0847.2+1134 | RX J0847.1+1133 | 131.80375 | 11.56397 | BL Lac | 0.198 | (5.3+/-1.2) e-10 | 1.483
129 | 2FGLJ0848.1-0703 | TXS 0845-068 | 131.98625 | -7.055 | BL Lac | 0 | (3.9+/-1.1) e-10 | 1.961
130 | 2FGLJ0849.8+4852 | GB6 J0850+4855 | 132.50167 | 48.91622 | BL Lac | 0 | (18.2+/-1.7) e-10 | 2.215
131 | 2FGLJ0849.0+0455 | TXS 0846+051 | 132.385 | 4.91858 | BL Lac | 0 | (5.9+/-1.3) e-10 | 1.681
132 | 2FGLJ0854.8+2005 | OJ 287 | 133.70333 | 20.1085 | BL Lac | 0.306 | (35.5+/-2.4) e-10 | 2.232
133 | 2FGLJ0856.3+2058 | TXS 0853+211 | 134.16583 | 20.96228 | BL Lac | 0 | (7.2+/-1.5) e-10 | 2.138
134 | 2FGLJ0856.6-1105 | CRATES J0856-1105 | 134.17417 | -11.08725 | BL Lac | 0 | (28.9+/-2.3) e-10 | 2.051
135 | 2FGLJ0902.4+2050 | NVSS J090226+205045 | 135.61167 | 20.846 | BL Lac | 0 | (9.1+/-1.4) e-10 | 2.01
136 | 2FGLJ0905.6+1357 | MG1 J090534+1358 | 136.39583 | 13.96769 | BL Lac | 0 | (14.5+/-1.7) e-10 | 1.811
137 | 2FGLJ0909.2+2308 | RX J0908.9+2311 | 137.25292 | 23.18664 | BL Lac | 0.223 | (8.5+/-1.7) e-10 | 1.709
138 | 2FGLJ0910.6+3329 | Ton 1015 | 137.655 | 33.49025 | BL Lac | 0 | (10.5+/-1.5) e-10 | 1.94
