BAT_NAME,RA,DEC,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,FLUX,FLUX_LO,FLUX_HI,CONTAM_FRAC,GAMMA,GAMMA_LO,GAMMA_HI,CHI_SQ_R,REDSHIFT,LUM,ASSOC_STRENGTH,CL2,TYPE
SWIFT J0001.6-7701,0.32572523,-77.001495,5.4087653,Fairall 1203,,0.441917,-76.95397,10.1,6.61,14.08,0.0,2.02,1.54,2.6,0.7,0.058394,43.91609,0,4,Sy1
SWIFT J0002.5+0323,0.6643712,3.332471,5.0990663,NGC 7811,,0.6103,3.3519,11.69,7.36,16.64,0.0,1.82,1.31,2.39,0.5,0.025518,43.239723,0,4,Sy1.5
SWIFT J0005.0+7021,1.0109622,70.327415,7.1977897,2MASX J00040192+7019185,IGR J00040+7020,1.008167,70.32175,12.67,9.38,16.33,0.0,2.19,1.83,2.61,0.7,0.096,44.468975,0,5,Sy2
SWIFT J0009.4-0037,2.3161855,-0.574585,4.987157,2MASX J00091156-0036551,,2.298239,-0.615202,9.26,5.31,13.99,0.0,2.14,1.52,2.97,0.4,0.073252,44.084366,0,5,Sy2
SWIFT J0010.5+1057,2.6118748,10.952875,13.351101,Mrk 1501,,2.6292,10.9749,31.37,26.89,36.08,0.0,1.87,1.68,2.07,0.9,0.08934,44.796345,0,4,Sy1.2
SWIFT J0021.2-1909,5.305254,-19.150911,8.542029,2MASX J00210753-1910056,PKS 0018-19,5.2814,-19.1682,17.28,13.33,21.64,0.0,2.06,1.76,2.41,0.8,0.09557,44.599594,0,5,Sy2
SWIFT J0025.8+6818,6.476934,68.38448,7.4494143,2MASX J00253292+6821442,,6.387,68.3623,18.24,13.89,22.94,0.0,1.65,1.32,2.0,0.4,0.012,42.768753,0,5,Sy2
SWIFT J0026.5-5308,6.7011733,-53.153423,6.612803,2MASX J00264073-5309479,,6.6695,-53.1633,14.16,10.2,18.52,0.0,1.78,1.4,2.2,0.7,0.062877,44.129837,0,4,Sy1.2
SWIFT J0029.2+1319,7.307917,13.317666,6.789075,[HB89] 0026+129,,7.306667,13.2675,12.5,8.92,16.55,0.0,2.25,1.85,2.76,0.5,0.142,44.829235,0,8,Sy1/RQQ
SWIFT J0033.6+6127,8.402517,61.448265,7.663523,2MASX J00331831+6127433,IGR J00333+6122,8.3266,61.462,14.11,10.69,17.91,0.0050432906,2.14,1.79,2.53,1.0,0.105,44.5988,0,4,Sy1.5
SWIFT J0034.5-7904,8.625973,-79.06026,5.0361996,2MASX J00341665-7905204,,8.56975,-79.088974,6.73,4.44,9.59,0.0,2.98,2.33,3.9,1.3,0.074,43.955048,0,4,Sy1
SWIFT J0036.3+4540,9.08247,45.635323,7.2416606,CGCG 535-012,,9.087431,45.665024,15.58,11.71,19.83,0.0,1.8,1.48,2.15,1.8,0.047643,43.9209,0,4,Sy1.2
SWIFT J0042.9-2332,10.708945,-23.551455,21.92112,NGC 235A,,10.72,-23.541,47.65,43.3,52.15,0.0,1.86,1.75,1.99,2.1,0.02223,43.72802,0,4,Sy1
SWIFT J0042.9+3016B,10.745769,30.25945,7.1387672,2MASX J00423991+3017515,,10.666292,30.29764,10.31,0.0,0.0,1.1730303,0.96,0.0,0.0,0.3,0.1408,44.737553,0,8,Sy1
SWIFT J0042.9-1135,10.7495985,-11.569456,4.818369,MCG -02-02-095,,10.786542,-11.601,8.95,5.37,13.19,0.0,2.23,1.67,3.0,0.8,0.01887,42.85725,0,5,Sy2
SWIFT J0048.8+3155,12.216581,31.96135,73.9311,Mrk 348,,12.1964,31.957,156.04,151.87,160.25,0.0,1.9,1.86,1.93,6.9,0.01503,43.898518,0,5,Sy2/FSRQ
SWIFT J0051.6+2928,12.898683,29.47144,5.5000086,MCG +05-03-013,,12.895877,29.401258,9.81,6.2,14.07,0.0,2.18,1.64,2.9,1.1,0.035955,43.46812,0,4,Sy1.0
SWIFT J0051.9+1724,12.96504,17.424889,15.726656,Mrk 1148,,12.9783,17.4329,29.7,25.89,33.71,0.0,2.17,1.99,2.36,1.4,0.064,44.467598,0,4,Sy1
SWIFT J0054.9+2524,13.718847,25.403027,6.810625,[HB89] 0052+251,,13.717083,25.427221,13.7,9.84,18.04,0.0,1.93,1.56,2.35,0.9,0.155,44.95221,0,4,Sy1.2
SWIFT J0059.4+3150,14.990283,31.814356,14.432707,Mrk 352,,14.972,31.8269,29.98,25.84,34.32,0.0,1.94,1.76,2.14,0.5,0.01486,43.172123,0,4,Sy1
SWIFT J0100.9-4750,15.192632,-47.87805,9.363741,ESO 195-IG 021 NED03,,15.1457,-47.8676,16.3,12.68,20.24,1.3113767E-16,2.0,1.7,2.33,0.6,0.04825,43.951893,0,5,Sy1.8
SWIFT J0101.5-0308,15.361851,-3.1500697,5.273469,2MASX J01012440-0308399,SWIFT J0101.3-0306,15.3517,-3.1445,10.34,6.39,15.08,0.0,2.09,1.55,2.81,0.7,0.069448,44.08365,0,5,Sy1.8
SWIFT J0105.5-4213,16.368814,-42.166992,6.2194343,MCG -07-03-007,,16.36175,-42.216194,11.97,8.14,16.25,0.0,1.75,1.33,2.21,0.7,0.030249,43.400787,0,5,Sy2
SWIFT J0105.7-1414,16.43128,-14.23663,6.9029408,2MASX J01053882-1416133,,16.41171,-14.2704,13.07,9.32,17.34,0.0,2.21,1.79,2.72,1.1,0.066,44.13907,0,4,Sy1
SWIFT J0105.6-3433,16.4426,-34.570644,5.4598374,HE 0103-3447,,16.44417,-34.5292,8.56,5.15,12.55,0.0,2.28,1.71,3.14,1.2,0.057,43.822388,0,4,Sy1
SWIFT J0106.8+0639,16.688534,6.6677966,7.7685213,2MASX J01064523+0638015,UM 085,16.68859,6.633877,15.45,11.16,20.26,0.0,2.01,1.6,2.48,1.8,0.041,43.78264,0,5,Sy2
SWIFT J0107.7-1137B,16.942717,-11.622195,6.840089,2MASX J01073963-1139117,,16.915167,-11.653222,10.48,0.0,0.0,0.26385385,1.7,0.0,0.0,1.4,0.047459,43.745213,0,5,Sy2 double source
SWIFT J0113.8+1313,18.457466,13.239016,7.3330626,Mrk 975,,18.462622,13.2717285,16.54,12.24,21.33,3.442631E-19,1.88,1.52,2.28,1.5,0.049634,43.983673,0,4,Sy1
SWIFT J0114.5-3236,18.563417,-32.632706,6.852772,IC 1657,,18.52925,-32.65089,14.32,9.95,19.18,0.0,1.85,1.41,2.36,0.9,0.011952,42.660156,0,5,Sy2
SWIFT J0114.4-5522,18.574772,-55.40065,8.651776,NGC 454E,2MASX J01142491-5523497,18.60379,-55.3971,17.46,13.6,21.64,0.0,1.8,1.5,2.12,0.4,0.01213,42.759216,0,5,Sy2
SWIFT J0122.0-2818,20.506624,-28.291742,5.9654255,[HB89] 0119-286,,20.464582,-28.349167,15.07,10.02,20.87,0.0,1.39,0.81,1.94,1.2,0.116,44.720238,0,8,"Sy1, QSO"
SWIFT J0122.8+5003,20.611755,50.089493,7.598459,MCG +08-03-018,,20.643457,50.055,12.63,9.52,16.13,0.0,2.39,2.03,2.82,0.8,0.020401,43.075592,0,5,Sy2
SWIFT J0123.8-3504,20.944313,-35.0715,28.75867,NGC 526A,,20.9766,-35.0654,63.25,59.04,67.54,0.0,1.79,1.7,1.87,2.0,0.0191,43.717163,0,4,Sy1.5
SWIFT J0123.9-5846,20.946878,-58.784546,27.408617,Fairall 9,,20.9408,-58.8057,49.46,45.98,53.03,0.0,2.03,1.94,2.13,2.3,0.04702,44.41076,0,4,Sy1
SWIFT J0126.2+1517,21.489428,15.274825,6.1560707,RHS 10,,21.491922,15.303808,13.36,9.36,17.83,1.7705806E-17,2.0,1.6,2.48,1.9,0.111,44.626804,0,4,Sy1
SWIFT J0127.5+1910,21.876722,19.173494,7.3911085,Mrk 359,,21.885635,19.178833,13.32,9.87,17.21,0.0,2.36,1.99,2.83,2.2,0.017385,42.957764,0,4,Sy1.5
SWIFT J0128.0-1850,22.001184,-18.82627,8.7672205,MCG -03-04-072,,22.027988,-18.808598,19.74,15.39,24.46,0.0,1.9,1.59,2.25,0.6,0.046,43.99216,0,4,Sy1/NLSy1
SWIFT J0130.0-4218,22.42968,-42.32441,6.0628967,ESO 244-IG 030,,22.4636,-42.3265,8.86,6.0,12.23,0.0,2.43,1.95,3.07,0.2,0.025598,43.122112,0,5,Sy2
SWIFT J0131.8-3307,22.979698,-33.070885,6.863166,ESO 353- G 009,,22.960083,-33.119278,14.41,10.49,18.74,0.0,1.85,1.48,2.25,0.7,0.016485,42.945164,0,5,Sy2
SWIFT J0134.1-3625,23.480562,-36.50401,22.319967,NGC 612,,23.4906,-36.4933,54.99,50.56,59.53,0.0,1.56,1.46,1.67,1.2,0.02977,44.048805,0,5,Sy2
SWIFT J0138.6-4001,24.658508,-39.991043,32.93712,ESO 297-018,,24.6548,-40.0114,68.66,64.61,72.8,0.0,1.76,1.68,1.84,2.8,0.0252,43.997517,0,5,Sy2
