N     Dec (radians)     RA (radians)
1     -1.483530     0.000000
2     -1.473607     0.336224
3     -1.463683     0.672448
4     -1.453760     1.008672
5     -1.443837     1.344896
6     -1.433913     1.681120
7     -1.423990     2.017344
8     -1.414067     2.353568
9     -1.404144     2.689792
10     -1.394220     3.026016
11     -1.384297     3.362240
12     -1.374374     3.698464
13     -1.364451     4.034688
14     -1.354527     4.370912
15     -1.344604     4.707135
16     -1.334681     5.043359
17     -1.324757     5.379583
18     -1.314834     5.715807
19     -1.304911     6.052031
20     -1.294988     0.105070
21     -1.285064     0.441294
22     -1.275141     0.777518
23     -1.265218     1.113742
24     -1.255295     1.449966
25     -1.245371     1.786190
26     -1.235448     2.122414
27     -1.225525     2.458638
28     -1.215601     2.794862
29     -1.205678     3.131086
30     -1.195755     3.467310
31     -1.185832     3.803534
32     -1.175908     4.139758
33     -1.165985     4.475982
34     -1.156062     4.812205
35     -1.146138     5.148429
36     -1.136215     5.484653
37     -1.126292     5.820877
38     -1.116369     6.157101
39     -1.106445     0.210140
40     -1.096522     0.546364
41     -1.086599     0.882588
42     -1.076676     1.218812
43     -1.066752     1.555036
44     -1.056829     1.891260
45     -1.046906     2.227484
46     -1.036982     2.563708
47     -1.027059     2.899932
48     -1.017136     3.236156
49     -1.007213     3.572380
50     -0.997289     3.908604
51     -0.987366     4.244828
52     -0.977443     4.581051
53     -0.967519     4.917275
54     -0.957596     5.253499
55     -0.947673     5.589723
56     -0.937750     5.925947
57     -0.927826     6.262171
58     -0.917903     0.315210
59     -0.907980     0.651434
60     -0.898057     0.987658
61     -0.888133     1.323882
62     -0.878210     1.660106
63     -0.868287     1.996330
64     -0.858363     2.332554
65     -0.848440     2.668778
66     -0.838517     3.005002
67     -0.828594     3.341226
68     -0.818670     3.677450
69     -0.808747     4.013674
70     -0.798824     4.349898
71     -0.788900     4.686121
72     -0.778977     5.022345
73     -0.769054     5.358569
74     -0.759131     5.694793
75     -0.749207     6.031017
76     -0.739284     0.084056
77     -0.729361     0.420280
78     -0.719438     0.756504
79     -0.709514     1.092728
80     -0.699591     1.428952
81     -0.689668     1.765176
82     -0.679744     2.101400
83     -0.669821     2.437624
84     -0.659898     2.773848
85     -0.649975     3.110072
86     -0.640051     3.446296
87     -0.630128     3.782520
88     -0.620205     4.118744
89     -0.610282     4.454968
90     -0.600358     4.791191
91     -0.590435     5.127415
92     -0.580512     5.463639
93     -0.570588     5.799863
94     -0.560665     6.136087
95     -0.550742     0.189126
96     -0.540819     0.525350
97     -0.530895     0.861574
98     -0.520972     1.197798
99     -0.511049     1.534022
100     -0.501125     1.870246
101     -0.491202     2.206470
102     -0.481279     2.542694
103     -0.471356     2.878918
104     -0.461432     3.215142
105     -0.451509     3.551366
106     -0.441586     3.887590
107     -0.431663     4.223814
108     -0.421739     4.560037
109     -0.411816     4.896261
110     -0.401893     5.232485
111     -0.391969     5.568709
112     -0.382046     5.904933
113     -0.372123     6.241157
114     -0.362200     0.294196
115     -0.352276     0.630420
116     -0.342353     0.966644
117     -0.332430     1.302868
118     -0.322506     1.639092
119     -0.312583     1.975316
120     -0.302660     2.311540
121     -0.292737     2.647764
122     -0.282813     2.983988
123     -0.272890     3.320212
124     -0.262967     3.656436
125     -0.253044     3.992660
126     -0.243120     4.328884
127     -0.233197     4.665107
128     -0.223274     5.001331
129     -0.213350     5.337555
130     -0.203427     5.673779
131     -0.193504     6.010003
132     -0.183581     0.063042
133     -0.173657     0.399266
134     -0.163734     0.735490
135     -0.153811     1.071714
136     -0.143888     1.407938
137     -0.133964     1.744162
138     -0.124041     2.080386
139     -0.114118     2.416610
140     -0.104194     2.752834
141     -0.094271     3.089058
142     -0.084348     3.425282
143     -0.074425     3.761506
144     -0.064501     4.097730
145     -0.054578     4.433954
146     -0.044655     4.770177
147     -0.034731     5.106401
148     -0.024808     5.442625
149     -0.014885     5.778849
150     -0.004962     6.115073
151     0.004962     0.168112
152     0.014885     0.504336
153     0.024808     0.840560
154     0.034731     1.176784
155     0.044655     1.513008
156     0.054578     1.849232
157     0.064501     2.185456
158     0.074425     2.521680
159     0.084348     2.857904
160     0.094271     3.194128
161     0.104194     3.530352
162     0.114118     3.866576
163     0.124041     4.202800
164     0.133964     4.539023
165     0.143888     4.875247
166     0.153811     5.211471
167     0.163734     5.547695
168     0.173657     5.883919
169     0.183581     6.220143
170     0.193504     0.273182
171     0.203427     0.609406
172     0.213350     0.945630
173     0.223274     1.281854
174     0.233197     1.618078
175     0.243120     1.954302
176     0.253044     2.290526
177     0.262967     2.626750
178     0.272890     2.962974
179     0.282813     3.299198
180     0.292737     3.635422
181     0.302660     3.971646
182     0.312583     4.307870
183     0.322506     4.644093
184     0.332430     4.980317
185     0.342353     5.316541
186     0.352276     5.652765
187     0.362200     5.988989
188     0.372123     0.042028
189     0.382046     0.378252
190     0.391969     0.714476
191     0.401893     1.050700
192     0.411816     1.386924
193     0.421739     1.723148
194     0.431663     2.059372
195     0.441586     2.395596
196     0.451509     2.731820
197     0.461432     3.068044
198     0.471356     3.404268
199     0.481279     3.740492
200     0.491202     4.076716
201     0.501125     4.412940
202     0.511049     4.749163
203     0.520972     5.085387
204     0.530895     5.421611
205     0.540819     5.757835
206     0.550742     6.094059
207     0.560665     0.147098
208     0.570588     0.483322
209     0.580512     0.819546
210     0.590435     1.155770
211     0.600358     1.491994
212     0.610282     1.828218
213     0.620205     2.164442
214     0.630128     2.500666
215     0.640051     2.836890
216     0.649975     3.173114
217     0.659898     3.509338
218     0.669821     3.845562
219     0.679744     4.181786
220     0.689668     4.518010
221     0.699591     4.854233
222     0.709514     5.190457
223     0.719438     5.526681
224     0.729361     5.862905
225     0.739284     6.199129
226     0.749207     0.252168
227     0.759131     0.588392
228     0.769054     0.924616
229     0.778977     1.260840
230     0.788900     1.597064
231     0.798824     1.933288
232     0.808747     2.269512
233     0.818670     2.605736
234     0.828594     2.941960
235     0.838517     3.278184
236     0.848440     3.614408
237     0.858363     3.950632
238     0.868287     4.286856
239     0.878210     4.623079
240     0.888133     4.959303
241     0.898057     5.295527
242     0.907980     5.631751
243     0.917903     5.967975
244     0.927826     0.021014
245     0.937750     0.357238
246     0.947673     0.693462
247     0.957596     1.029686
248     0.967519     1.365910
249     0.977443     1.702134
250     0.987366     2.038358
251     0.997289     2.374582
252     1.007213     2.710806
253     1.017136     3.047030
254     1.027059     3.383254
255     1.036982     3.719478
256     1.046906     4.055702
257     1.056829     4.391926
258     1.066752     4.728149
259     1.076676     5.064373
260     1.086599     5.400597
261     1.096522     5.736821
262     1.106445     6.073045
263     1.116369     0.126084
264     1.126292     0.462308
265     1.136215     0.798532
266     1.146138     1.134756
267     1.156062     1.470980
268     1.165985     1.807204
269     1.175908     2.143428
270     1.185832     2.479652
271     1.195755     2.815876
272     1.205678     3.152100
273     1.215601     3.488324
274     1.225525     3.824548
275     1.235448     4.160772
276     1.245371     4.496996
277     1.255295     4.833219
278     1.265218     5.169443
279     1.275141     5.505667
280     1.285064     5.841891
281     1.294988     6.178115
282     1.304911     0.231154
283     1.314834     0.567378
284     1.324757     0.903602
285     1.334681     1.239826
286     1.344604     1.576050
287     1.354527     1.912274
